Age,Education,Marital_Status,Income,Kidhome,Teenhome,AmntWines,AmntFruits,AmntMeatProducts,AmntFishProducts,AmntSweetProducts,AmntGoldProds,Country,Income_groups,age_range,AmntAll,ClusterId
51,Graduation,Divorced,84835,0,0,189,104,379,111,189,218,RUS,80k-100k,45-55,1190,2
60,Graduation,Single,57091,0,0,464,5,64,7,0,37,CAN,40k-60k,55-65,577,3
63,Graduation,Married,67267,0,1,134,11,59,15,2,30,USA,60k-80k,55-65,251,3
54,Graduation,Together,32474,1,1,10,0,1,0,0,0,AUS,20k-40k,45-55,11,0
32,Graduation,Single,21474,1,0,6,16,24,11,0,34,RUS,20k-40k,25-35,91,0
63,PhD,Single,71691,0,0,336,130,411,240,32,43,RUS,60k-80k,55-65,1192,3
67,2n Cycle,Married,63564,0,0,769,80,252,15,34,65,DEU,60k-80k,65+,1215,3
54,Graduation,Together,44931,0,1,78,0,11,0,0,7,RUS,40k-60k,45-55,96,1
67,PhD,Married,65324,0,1,384,0,102,21,32,5,USA,60k-80k,65+,544,3
67,PhD,Married,65324,0,1,384,0,102,21,32,5,IND,60k-80k,65+,544,3
74,2n Cycle,Married,81044,0,0,450,26,535,73,98,26,USA,80k-100k,65+,1208,2
42,Master,Together,62499,1,0,140,4,61,0,13,4,RUS,60k-80k,35-45,222,3
62,PhD,Widow,67786,0,0,431,82,441,80,20,102,IND,60k-80k,55-65,1156,3
40,Graduation,Married,26872,0,0,3,10,8,3,16,32,CAN,20k-40k,35-45,72,0
52,Graduation,Married,4428,0,1,16,4,12,2,4,321,RUS,0-20k,45-55,359,0
44,Graduation,Married,54809,1,1,63,6,57,13,13,22,RUS,40k-60k,35-45,174,3
44,Graduation,Married,54809,1,1,63,6,57,13,13,22,RUS,40k-60k,35-45,174,3
63,PhD,Divorced,32173,0,1,18,0,2,0,0,2,RUS,20k-40k,55-65,22,0
61,2n Cycle,Single,47823,0,1,53,1,5,2,1,10,CAN,40k-60k,55-65,72,1
63,Master,Single,30523,2,1,5,0,3,0,0,5,CAN,20k-40k,55-65,13,0
67,Master,Together,36634,0,1,213,9,76,4,3,30,ZAF,20k-40k,65+,335,1
55,Master,Single,43456,0,1,275,11,68,25,7,7,IND,40k-60k,45-55,393,1
42,Master,Married,40662,1,0,40,2,23,0,4,23,DEU,40k-60k,35-45,92,1
45,PhD,Married,49544,1,0,308,0,73,0,0,23,RUS,40k-60k,35-45,404,1
52,Graduation,Single,57731,0,1,266,21,300,65,8,44,IND,40k-60k,45-55,704,3
56,Master,Single,33168,0,1,80,1,37,0,1,3,RUS,20k-40k,55-65,122,0
65,Graduation,Together,54450,1,1,454,0,171,8,19,32,RUS,40k-60k,55-65,684,3
65,Graduation,Together,54450,1,1,454,0,171,8,19,32,RUS,40k-60k,55-65,684,3
65,PhD,Widow,35340,1,1,27,0,12,0,1,5,RUS,20k-40k,55-65,45,1
46,Graduation,Single,73170,0,0,184,174,256,50,30,32,CAN,60k-80k,45-55,726,3
50,PhD,Divorced,65808,1,1,155,7,80,13,7,10,RUS,60k-80k,45-55,272,3
35,Graduation,Married,79529,0,0,423,42,706,73,197,197,CAN,60k-80k,25-35,1638,2
49,PhD,Together,34578,2,1,7,0,1,0,0,0,AUS,20k-40k,45-55,8,1
47,PhD,Married,46374,0,1,408,0,21,0,0,17,IND,40k-60k,45-55,446,1
31,Graduation,Married,18351,0,0,1,12,9,0,14,7,RUS,0-20k,25-35,43,0
34,PhD,Single,95169,0,0,1285,21,449,106,20,20,RUS,80k-100k,25-35,1901,2
37,2n Cycle,Married,65370,0,0,71,22,112,138,89,29,RUS,60k-80k,35-45,461,3
61,Master,Divorced,39228,0,0,7,1,6,0,3,3,ZAF,20k-40k,55-65,20,1
60,PhD,Single,84865,0,0,1248,16,349,43,16,16,RUS,80k-100k,55-65,1688,2
53,Graduation,Married,61314,0,1,378,0,189,97,172,172,RUS,60k-80k,45-55,1008,3
49,Graduation,Single,21359,1,0,12,2,17,6,1,10,CAN,20k-40k,45-55,48,0
66,PhD,Married,66465,0,1,1200,0,204,38,29,14,RUS,60k-80k,65+,1485,3
38,2n Cycle,Single,81698,0,0,709,45,115,30,160,45,RUS,80k-100k,35-45,1104,2
35,Graduation,Single,39146,1,0,94,1,33,13,12,12,RUS,20k-40k,25-35,165,1
51,2n Cycle,Divorced,25959,1,1,4,2,12,7,5,26,RUS,20k-40k,45-55,56,0
60,Graduation,Together,64260,0,0,539,169,816,20,0,30,RUS,60k-80k,55-65,1574,3
48,Graduation,Married,32300,1,0,13,3,6,6,5,6,RUS,20k-40k,45-55,39,0
56,Master,Married,74806,0,1,670,9,249,0,28,9,AUS,60k-80k,55-65,965,2
51,Graduation,Divorced,72967,0,1,158,35,179,0,0,125,DEU,60k-80k,45-55,497,3
61,Graduation,Single,48904,0,1,283,10,38,0,13,27,USA,40k-60k,55-65,371,1
37,2n Cycle,Married,14796,1,0,13,3,8,7,4,16,DEU,0-20k,35-45,51,0
67,Master,Married,66991,0,0,496,36,460,189,60,12,DEU,60k-80k,65+,1253,3
43,2n Cycle,Single,52195,2,1,12,0,4,0,0,1,ZAF,40k-60k,35-45,17,1
65,Graduation,Married,90369,0,0,292,51,981,224,23,17,RUS,80k-100k,55-65,1588,2
47,Basic,Married,18393,1,0,7,10,13,16,0,4,RUS,0-20k,45-55,50,0
69,Graduation,Single,47139,1,1,46,0,12,0,2,23,RUS,40k-60k,65+,83,1
48,Master,Married,38576,0,1,34,0,7,0,0,0,IND,20k-40k,45-55,41,1
46,PhD,Together,61905,0,1,167,0,43,6,2,13,ZAF,60k-80k,45-55,231,3
59,Graduation,Married,83715,0,0,318,8,407,150,35,8,ZAF,80k-100k,55-65,926,2
57,Graduation,Married,60597,0,1,522,0,257,32,16,66,RUS,60k-80k,55-65,893,3
39,Master,Single,6560,0,0,67,11,26,4,3,262,RUS,0-20k,35-45,373,0
60,Master,Together,48330,0,1,28,0,4,0,0,0,RUS,40k-60k,55-65,32,1
53,PhD,Single,38236,1,1,58,0,18,2,0,10,RUS,20k-40k,45-55,88,1
44,Master,Married,22701,1,0,2,4,9,0,4,5,RUS,20k-40k,35-45,24,0
47,Master,Divorced,53367,1,1,229,7,140,10,3,11,AUS,40k-60k,45-55,400,1
35,Graduation,Together,34728,1,0,14,0,16,0,0,6,RUS,20k-40k,25-35,36,1
65,Master,Married,63915,0,2,622,7,115,30,0,15,AUS,60k-80k,55-65,789,3
61,2n Cycle,Married,82504,0,0,362,50,431,134,35,54,IND,80k-100k,55-65,1066,2
49,PhD,Single,38578,1,1,38,4,22,3,3,3,RUS,20k-40k,45-55,73,1
49,PhD,Single,38578,1,1,38,4,22,3,3,3,RUS,20k-40k,45-55,73,1
46,PhD,Married,79174,0,0,1074,37,518,193,92,129,CAN,60k-80k,45-55,2043,2
59,2n Cycle,Divorced,81975,0,1,983,76,184,180,138,27,ZAF,80k-100k,55-65,1588,2
44,Master,Married,43263,0,1,262,6,61,0,10,102,RUS,40k-60k,35-45,441,1
51,Graduation,Single,27242,1,0,3,17,26,20,1,39,IND,20k-40k,45-55,106,0
50,Graduation,Married,76445,1,0,739,107,309,140,80,35,ZAF,60k-80k,45-55,1410,2
56,Graduation,Together,75276,0,0,610,105,125,137,42,21,RUS,60k-80k,55-65,1040,2
58,Graduation,Widow,34213,1,1,50,4,28,6,3,26,ZAF,20k-40k,55-65,117,1
45,PhD,Together,72335,0,0,1285,105,653,28,21,0,RUS,60k-80k,35-45,2092,3
57,Master,Married,79143,0,0,650,37,780,27,167,32,AUS,60k-80k,55-65,1693,2
74,Graduation,Married,27469,0,0,9,1,2,3,2,0,CAN,20k-40k,65+,17,0
52,Graduation,Together,68695,0,0,458,81,356,106,50,40,RUS,60k-80k,45-55,1091,3
52,Graduation,Together,68695,0,0,458,81,356,106,50,40,CAN,60k-80k,45-55,1091,3
64,Graduation,Single,50388,0,1,292,6,37,0,3,34,DEU,40k-60k,55-65,372,1
51,PhD,Together,77622,0,2,520,7,154,19,0,14,ZAF,60k-80k,45-55,714,2
59,Graduation,Divorced,46102,2,1,14,0,1,0,0,1,RUS,40k-60k,55-65,16,1
41,2n Cycle,Single,31859,1,0,3,4,7,15,8,11,RUS,20k-40k,35-45,48,0
34,2n Cycle,Single,23830,0,0,1,8,6,4,8,16,RUS,20k-40k,25-35,43,0
48,Graduation,Married,24639,1,1,20,3,16,0,4,1,AUS,20k-40k,45-55,44,0
76,PhD,Together,71604,0,0,345,53,528,98,75,97,RUS,60k-80k,65+,1196,3
37,Graduation,Married,27255,1,0,22,1,11,0,1,2,RUS,20k-40k,35-45,37,0
44,Graduation,Together,55375,0,1,42,11,57,10,28,14,CAN,40k-60k,35-45,162,3
61,PhD,Married,77037,0,1,463,96,333,168,53,10,RUS,60k-80k,55-65,1123,2
51,Graduation,Single,24163,1,1,4,1,7,2,1,2,RUS,20k-40k,45-55,17,0
52,PhD,Together,69476,0,0,260,86,559,63,9,67,USA,60k-80k,45-55,1044,3
42,Graduation,Married,72063,0,1,180,32,348,76,32,90,DEU,60k-80k,35-45,758,3
59,Master,Married,58646,0,1,62,1,44,6,5,22,RUS,40k-60k,55-65,140,3
59,Master,Married,58646,0,1,62,1,44,6,5,22,DEU,40k-60k,55-65,140,3
72,Master,Widow,47570,1,1,67,1,20,0,2,31,USA,40k-60k,65+,121,1
41,Graduation,Married,80011,0,1,421,76,536,82,178,102,AUS,80k-100k,35-45,1395,2
65,PhD,Single,54998,0,1,154,22,202,39,30,8,RUS,40k-60k,55-65,455,3
73,PhD,Single,60200,0,1,502,19,132,0,6,26,RUS,60k-80k,65+,685,3
39,Graduation,Married,63211,0,0,145,193,459,205,26,145,RUS,60k-80k,35-45,1173,3
48,PhD,Single,48432,0,1,322,3,50,4,3,42,ZAF,40k-60k,45-55,424,1
72,Master,Married,62845,1,1,1099,0,45,0,0,34,RUS,60k-80k,65+,1178,3
72,Master,Married,62845,1,1,1099,0,45,0,0,34,RUS,60k-80k,65+,1178,3
56,PhD,Together,65220,0,0,890,63,292,0,25,12,DEU,60k-80k,55-65,1282,3
31,PhD,Married,74214,0,0,863,83,547,86,99,33,RUS,60k-80k,25-35,1711,2
41,2n Cycle,Married,96547,0,0,448,21,125,52,101,62,RUS,80k-100k,35-45,809,2
66,Graduation,Together,53863,0,1,399,4,30,6,4,30,RUS,40k-60k,65+,473,3
51,Graduation,Married,50447,2,0,85,7,24,2,3,27,IND,40k-60k,45-55,148,1
68,Graduation,Married,37716,0,1,97,1,41,6,2,41,AUS,20k-40k,65+,188,1
39,Graduation,Together,45203,2,0,35,3,67,10,8,24,ZAF,40k-60k,35-45,147,1
46,Master,Married,37368,1,0,3,2,11,2,2,10,RUS,20k-40k,45-55,30,1
66,Graduation,Married,67225,0,1,315,35,322,46,7,143,USA,60k-80k,65+,868,3
45,Master,Together,65104,0,1,738,0,232,13,20,50,CAN,60k-80k,35-45,1053,3
45,Master,Together,65104,0,1,738,0,232,13,20,50,RUS,60k-80k,35-45,1053,3
72,Master,Married,81698,0,0,179,28,520,111,123,47,RUS,80k-100k,65+,1008,2
53,Graduation,Single,70566,0,1,381,28,215,84,28,21,RUS,60k-80k,45-55,757,3
63,Graduation,Together,69096,0,1,247,49,159,7,82,109,DEU,60k-80k,55-65,653,3
59,Graduation,Married,71434,0,1,711,36,217,172,96,168,RUS,60k-80k,55-65,1400,3
43,Graduation,Married,33039,1,0,30,8,12,8,8,12,RUS,20k-40k,35-45,78,0
43,Graduation,Married,33039,1,0,30,8,12,8,8,12,CAN,20k-40k,35-45,78,0
63,Graduation,Together,46610,0,0,288,10,30,4,10,125,RUS,40k-60k,55-65,467,1
63,Graduation,Single,49967,0,1,212,6,69,4,12,3,CAN,40k-60k,55-65,306,1
45,Graduation,Married,53359,1,1,173,4,30,3,6,41,USA,40k-60k,35-45,257,1
50,Master,Married,49505,1,1,604,0,100,19,0,28,RUS,40k-60k,45-55,751,1
75,Master,Married,68657,0,0,482,34,471,119,68,22,AUS,60k-80k,65+,1196,3
67,Graduation,Divorced,72071,0,1,531,69,300,150,138,150,RUS,60k-80k,65+,1338,3
67,Graduation,Divorced,72071,0,1,531,69,300,150,138,150,CAN,60k-80k,65+,1338,3
54,Master,Single,59235,1,0,448,40,469,80,0,91,IND,40k-60k,45-55,1128,3
64,Graduation,Together,21994,0,1,9,0,6,3,1,3,AUS,20k-40k,55-65,22,0
64,Graduation,Together,21994,0,1,9,0,6,3,1,3,RUS,20k-40k,55-65,22,0
64,PhD,Married,45632,2,1,230,42,192,49,37,53,DEU,40k-60k,55-65,603,1
49,Graduation,Married,69209,0,0,496,32,849,229,48,128,CAN,60k-80k,45-55,1782,3
32,Graduation,Together,31928,1,0,33,4,24,4,2,5,IND,20k-40k,25-35,72,0
34,PhD,Single,74004,0,0,784,48,560,42,176,48,IND,60k-80k,25-35,1658,2
34,2n Cycle,Married,30390,0,0,10,12,12,25,1,20,IND,20k-40k,25-35,80,0
36,Graduation,Married,21355,1,0,5,13,14,0,5,31,USA,20k-40k,35-45,68,0
52,Graduation,Married,26304,1,0,4,1,5,2,0,4,DEU,20k-40k,45-55,16,0
32,2n Cycle,Married,85710,0,0,600,20,350,29,30,33,IND,80k-100k,25-35,1062,2
47,Graduation,Divorced,102692,0,0,168,148,444,32,172,148,ZAF,100k-200k,45-55,1112,2
50,Graduation,Single,58350,0,1,493,26,206,116,80,80,RUS,40k-60k,45-55,1001,3
43,Graduation,Single,7500,1,1,6,5,4,13,4,25,RUS,0-20k,35-45,57,0
37,Master,Single,18890,0,0,6,4,1,7,2,15,ZAF,0-20k,35-45,35,0
35,Basic,Married,20425,1,0,4,12,5,3,16,17,CAN,20k-40k,25-35,57,0
35,Basic,Married,20425,1,0,4,12,5,3,16,17,DEU,20k-40k,25-35,57,0
64,PhD,Divorced,41437,1,1,29,0,2,0,0,1,RUS,40k-60k,55-65,32,1
72,Master,Together,49912,0,1,520,8,223,32,49,42,MNE,40k-60k,65+,874,1
72,Master,Together,49912,0,1,520,8,223,32,49,42,AUS,40k-60k,65+,874,1
62,Graduation,Married,79823,0,1,835,73,380,114,73,43,AUS,60k-80k,55-65,1518,2
67,Graduation,Divorced,85683,0,0,1296,17,311,45,69,51,RUS,80k-100k,65+,1789,2
56,PhD,Divorced,47025,1,1,16,0,3,0,0,1,RUS,40k-60k,55-65,20,1
45,PhD,Married,68397,0,1,760,80,466,17,13,80,ZAF,60k-80k,35-45,1416,3
37,PhD,Married,38175,1,0,70,6,69,2,3,3,RUS,20k-40k,35-45,153,1
49,Master,Single,46423,1,1,68,0,16,0,0,8,RUS,40k-60k,45-55,92,1
49,Master,Single,46423,1,1,68,0,16,0,0,8,RUS,40k-60k,45-55,92,1
45,Master,Together,30560,1,0,9,1,5,4,5,7,ZAF,20k-40k,35-45,31,0
45,Master,Together,30560,1,0,9,1,5,4,5,7,CAN,20k-40k,35-45,31,0
42,Graduation,Single,60152,0,1,325,83,300,86,58,91,RUS,60k-80k,35-45,943,3
56,Graduation,Together,29672,1,1,9,1,3,0,4,8,ZAF,20k-40k,55-65,25,0
56,Graduation,Together,29672,1,1,9,1,3,0,4,8,RUS,20k-40k,55-65,25,0
74,Graduation,Together,70321,0,0,303,23,751,82,26,191,RUS,60k-80k,65+,1376,3
59,Graduation,Married,56181,0,1,121,103,69,8,44,48,RUS,40k-60k,55-65,393,3
